2.531080557054224693e-04 , 1.941522590272413951e-04 , 2.057133249521294954e-04 , 1.000200650272837111e+00 , -9.997498285168980869e-01 , 1.000223132646293811e+00 , 1.000247237543995249e+00 , -9.997277398260032699e-01
2.604610282135907777e-04 , 2.013730811886000574e-04 , 2.129600134282825684e-04 , 1.000207885630522764e+00 , -9.997424821411006191e-01 , 1.000230418352507700e+00 , 1.000253842610682842e+00 , -9.997210841451843466e-01
2.685683852645814212e-04 , 2.093346438494219231e-04 , 2.209501129289008806e-04 , 1.000215863229399371e+00 , -9.997343820618699306e-01 , 1.000238451498141501e+00 , 1.000262670140076082e+00 , -9.997121889308318021e-01
2.785303858005699624e-04 , 2.076621283926946202e-04 , 3.429507041234146998e-04 , 9.999350559853735776e-01 , -1.000314953750515601e+00 , 1.000525196748180745e+00 , 1.001874843028196294e+00 , -1.000415172973827316e+00
-3.309230717394660414e-04 , 4.978983324765064861e-04 , 1.207597324711406342e-03 , 9.961226259916418080e-01 , -1.003957920837869278e+00 , 1.002377358656704631e+00 , 1.008137738771004877e+00 , -1.001682491151154153e+00
-2.278870049401789631e-03 , 1.729137514405088569e-03 , 2.721553898192021013e-03 , 9.871334410367197387e-01 , -1.014832601393095945e+00 , 1.001497968642046654e+00 , 1.020232462186345002e+00 , -9.978302098909030970e-01
-6.417266546847479221e-03 , 3.862221273777128889e-03 , 4.692718221176715200e-03 , 9.739188778879931396e-01 , -1.034761614579750688e+00 , 9.925362215674490285e-01 , 1.036834198343754565e+00 , -9.852612350787350870e-01
-1.098666156159193094e-02 , 6.971248541612779133e-03 , 7.684130765559351109e-03 , 9.586959412619467935e-01 , -1.058794479339387529e+00 , 9.736647628619800043e-01 , 1.054973265971224317e+00 , -9.641232636953295243e-01
-1.737960455067181359e-02 , 1.047776932054611358e-02 , 1.068564571945303070e-02 , 9.427660183904035263e-01 , -1.085977050246214048e+00 , 9.486303299982280501e-01 , 1.074300597782354316e+00 , -9.381955454879880030e-01
-2.697064666375750472e-02 , 1.612924234128294831e-02 , 1.340507797077393655e-02 , 9.260308358685158669e-01 , -1.114551377718875802e+00 , 9.210847150810297368e-01 , 1.094407589247639923e+00 , -9.096826985247608022e-01
-3.778854089027670199e-02 , 2.305119640942281806e-02 , 1.586092985784221324e-02 , 9.102238805832715274e-01 , -1.143776706490864159e+00 , 8.919152492879385274e-01 , 1.111511422481623823e+00 , -8.835945446403993264e-01
-4.930363004206725352e-02 , 3.059421132362035931e-02 , 1.761564206385770465e-02 , 8.990962132377092741e-01 , -1.163957352984088534e+00 , 8.719977097025624069e-01 , 1.126828180583687722e+00 , -8.606511183104168516e-01
-6.322605226172961501e-02 , 4.069014427811717960e-02 , 2.019702913223959603e-02 , 8.844568202319398331e-01 , -1.190243855885833257e+00 , 8.463899320064042220e-01 , 1.145348259021502502e+00 , -8.352237123121524220e-01
-7.726730019394836835e-02 , 5.175211953015013827e-02 , 2.331449379915050135e-02 , 8.671435098736441915e-01 , -1.219514161833480825e+00 , 8.183533589793319241e-01 , 1.166208467709031193e+00 , -8.070936166630091613e-01
-9.259895478488774923e-02 , 6.747333243188106955e-02 , 2.636106492797580386e-02 , 8.482641513097456398e-01 , -1.252246797374262810e+00 , 7.877809626641582019e-01 , 1.188859709680052834e+00 , -7.766042070065021230e-01
-1.027459186882991732e-01 , 8.596104839620387350e-02 , 2.878471655642401289e-02 , 8.316854264841332389e-01 , -1.282019431024014944e+00 , 7.596771026776215630e-01 , 1.208482284527953032e+00 , -7.485513015861904318e-01
-1.037484508808117906e-01 , 9.941287955925209863e-02 , 3.074905743226214253e-02 , 8.173051298504340201e-01 , -1.308293572378409930e+00 , 7.343830524756690403e-01 , 1.225599790596668459e+00 , -7.235520176344475418e-01
-1.018945130125995246e-01 , 1.099651959165464099e-01 , 3.297620537563155513e-02 , 8.009860097444462257e-01 , -1.337760444924767533e+00 , 7.062354366622244362e-01 , 1.246133623008457869e+00 , -6.957926421209748025e-01
